score,title,year,authors,doi,url,type,databases,queries
8,Cryptographic Attestation for AI Agent Governance under the EU AI Act: A Survey of Approaches and Standards,2026,Anton Sokolov,https://doi.org/10.5281/zenodo.20185410,https://doi.org/10.5281/zenodo.20185410,preprint,OpenAlex,AI agent runtime governance policy actions
8,Execution-Time Authorization for AI Agents: A Formal Framework for Deterministic Governance Boundaries,2026,Edward Meyman,https://doi.org/10.5281/zenodo.18764561,https://doi.org/10.5281/zenodo.18764561,article,OpenAlex,AI agent runtime governance policy actions
8,Explainability and Human Oversight for AI-Generated Exercise Guidance in Digital Healthcare: A Governance-Oriented Narrative Review,2026,Kaijiang Pan; Caihua Huang; Xinyu Lin; Shengqi Huang,10.3390/healthcare14121716,https://doi.org/10.3390/healthcare14121716,journal-article,Crossref,human oversight AI generated code review
8,From Augmentation to Delegation: AI Coding Assistants and the Redistribution of Cognitive Labor in Software Development,2026,Vikas Jain; Ashish Kumar Jain,10.32388/ey1g5q,https://doi.org/10.32388/ey1g5q,posted-content,Crossref,software delegation contracts coding agents
8,From Monitoring to Authorization: The Structural Shift in Agentic AI Governance,2026,Edward Meyman,https://doi.org/10.5281/zenodo.18743974,https://doi.org/10.5281/zenodo.18743974,preprint,OpenAlex,AI agent runtime governance policy actions
8,The Case for Independent AI Assurance in Education: From Self-Attestation to External Validation AI Governance in Education Series Memorandum No. 5,2026,Ryan Purdy,10.2139/ssrn.6193319,https://doi.org/10.2139/ssrn.6193319,posted-content,Crossref,AI-assisted software assurance independent review
8,A Risk Ontology for Evaluating AI-Powered Psychotherapy Virtual Agents,2025,Ian Steenstra; Timothy Bickmore,10.1145/3717511.3749286,https://doi.org/10.1145/3717511.3749286,proceedings-article,Crossref,operational ontology decision rights AI agents
8,"AI in Software Quality Assurance: A Review of Machine Learning for Testing, Bug Prediction, and Debugging",2025,,10.56726/irjmets76291,https://doi.org/10.56726/irjmets76291,journal-article,Crossref,AI-assisted software assurance independent review
8,"The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges",2025,Ajay Bandi; Bhavani Kongari; Roshini Naguru; Sahitya Pasnoor; Sri Vidya Vilipala,https://doi.org/10.3390/fi17090404,https://doi.org/10.3390/fi17090404,article,OpenAlex,AI agent runtime governance policy actions
8,Transforming Software Quality Assurance: A Systematic Review of AI-Driven Testing Innovations,2025,Prem Sai Reddy Kareti,10.56975/tijer.v12i6.158253,https://doi.org/10.56975/tijer.v12i6.158253,journal-article,Crossref,AI-assisted software assurance independent review
8,"Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",2025,IBRAHIM ADABARA; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibrahim Danjuma; Maninti Venkateswarlu,https://doi.org/10.12688/f1000research.169927.1,https://doi.org/10.12688/f1000research.169927.1,article,OpenAlex,grader hacking reward hacking evaluator manipulation agent
8,Ethical and regulatory challenges of AI technologies in healthcare: A narrative review,2024,Ciro Mennella; Umberto Maniscalco; Giuseppe De Pietro; Massimo Esposito,https://doi.org/10.1016/j.heliyon.2024.e26297,https://doi.org/10.1016/j.heliyon.2024.e26297,review,OpenAlex,AI coding agent reviewability acceptance evidence; AI-assisted software assurance independent review; assurance case autonomous AI agent; evidence self-authorship AI agent; human oversight AI generated code review
8,Assurance of Agent Systems: What Role Should Formal Verification Play?,2010,M. Winikoff,10.1007/978-1-4419-6984-2_12,https://doi.org/10.1007/978-1-4419-6984-2_12,book-chapter,Crossref,common mode failure multi-agent verification
8,Independent Verification and Validation Of SAPHIRE 8 Software Quality Assurance Plan Project Number: N6423 U.S. Nuclear Regulatory Commission,2010,Kent Norris,10.2172/974749,https://doi.org/10.2172/974749,report,Crossref,AI-assisted software assurance independent review
8,Independent Verification and Validation Of SAPHIRE 8 Software Quality Assurance Plan Project Number: N6423 U.S. Nuclear Regulatory Commission,2010,Kent Norris,10.2172/974789,https://doi.org/10.2172/974789,report,Crossref,AI-assisted software assurance independent review
8,Assistenz und Delegation mit mobilen Softwareagenten - Das Leitprojekt MAP (Assistance and Delegation using Software Agents - Lead Project MAP),2003,Manfred Weiss; Manfred Laube,10.1524/icom.2.2.4.19593,https://doi.org/10.1524/icom.2.2.4.19593,journal-article,Crossref,software delegation contracts coding agents
8,Software agents: A review,1997,Shaw Green; Leon Hurst; Brenda Nangle; Pádraig Cunningham,,http://hdl.handle.net/2262/12980,report,OpenAlex,software delegation contracts coding agents
8,Assurance reconfiguration technology in decentralized database systems by an autonomous restructure mobile agent,,C.P. Leguizamo; M. Takaishi; S. Kimura; K. Mori,10.1109/isads.2005.1452036,https://doi.org/10.1109/isads.2005.1452036,proceedings-article,Crossref,assurance case autonomous AI agent
7,Contract-Gated Execution: A Deterministic Governance Layer for Autonomous AI Agent Orchestration,2026,Robert Stillwell,10.2139/ssrn.6339941,https://doi.org/10.2139/ssrn.6339941,posted-content,Crossref,AI agent execution provenance evidence tracing; assurance case autonomous AI agent
7,Human-AI Collaboration in Corporate Valuation: Experimental Evidence with a Valuation AI Agent&amp;nbsp;,2026,Huan Liu; Miao Liu; Zhizhe Liu; Danqing Mei,10.2139/ssrn.6485198,https://doi.org/10.2139/ssrn.6485198,posted-content,Crossref,AI coding agent reviewability acceptance evidence; evidence self-authorship AI agent
7,Round-Aware Evidence Admission in Multi-Agent AI Deliberation: A Tiered Protocol for Temporal Evidence Integrity,2026,Cory Kelly; Shubhanker Saxena,10.2139/ssrn.6986458,https://doi.org/10.2139/ssrn.6986458,posted-content,Crossref,AI coding agent reviewability acceptance evidence; evidence self-authorship AI agent
7,Can AI Match Professional Analysts? Evidence from a Multi-Agent System,2025,Austin Francis; Cinder Xinde Zhang,10.2139/ssrn.5584131,https://doi.org/10.2139/ssrn.5584131,posted-content,Crossref,AI coding agent reviewability acceptance evidence; evidence self-authorship AI agent
6,A Real-Time AI-Based Speech Recognition agent for Clinical Documentation: Accuracy and User Acceptance in Prehospital Settings,2026,shani sultani; Daniel Gelman; Danielle Akler; Liora Shmueli,10.2139/ssrn.6844942,https://doi.org/10.2139/ssrn.6844942,posted-content,Crossref,AI coding agent reviewability acceptance evidence
6,AEGIS: Agent Execution Governance and Integrity Standard — A Survey and Reference Architecture for AI Agent Action Accountability,2026,Alex Li,10.2139/ssrn.6392459,https://doi.org/10.2139/ssrn.6392459,posted-content,Crossref,AI agent execution provenance evidence tracing
6,"AI-governed audit assurance: A conceptual framework integrating predictive intelligence, governance controls, and continuous assurance",2026,Naveen Nandal,10.1080/07366981.2026.2667950,https://doi.org/10.1080/07366981.2026.2667950,journal-article,Crossref,continuous assurance AI systems revalidation
6,Agentic AI For Network Management: Autonomous Troubleshooting And Configuration Through MCP Servers,2026,Vivek Koodakkara Shanmughan,10.63278/jicrcr.vi.3586,https://www.semanticscholar.org/paper/f4ed2ea37e9de57fced533a60de656e4cef1b9c1,JournalArticle,Semantic Scholar,AI model configuration management baseline revalidation
6,Agentic AI as Assurance Infrastructure: Design Principles for a Continuous Second Line,2026,Roni van der Fehr,10.2139/ssrn.6374859,https://doi.org/10.2139/ssrn.6374859,posted-content,Crossref,continuous assurance AI systems revalidation
6,AgenticFlict: A Large-Scale Dataset of Merge Conflicts in AI Coding Agent Pull Requests on GitHub,2026,Daniel Ogenrwot; John Businge,10.1145/3805760.3814923,https://doi.org/10.1145/3805760.3814923,proceedings-article,Crossref,AI coding agent reviewability acceptance evidence
6,Assurance of vibe coding and vibe coded systems,2026,Jeremy Straub,10.1117/12.3091271,https://doi.org/10.1117/12.3091271,proceedings-article,Crossref,continuous assurance AI systems revalidation
6,AutoMetaCoder: An AI Agent for Meta-analysis Coding,2026,Hanyi Min; FENG GUO; Sohee Kim; Baojiang Yang; James LeBreton,10.31234/osf.io/zrb96_v1,https://doi.org/10.31234/osf.io/zrb96_v1,posted-content,Crossref,AI coding agent reviewability acceptance evidence
6,"Automation and Delegation—
                    <scp>SOPs</scp>
                    , Agents, and Contractors",2026,,10.1002/9781394376865.ch14,https://doi.org/10.1002/9781394376865.ch14,other,Crossref,software delegation contracts coding agents
6,Autonomous CI/CD Quality Assurance Using LangGraph Multi-Agent Orchestration and Risk-Proportionate HITL Control,2026,Kavita Jadhav,10.2139/ssrn.6879105,https://doi.org/10.2139/ssrn.6879105,posted-content,Crossref,assurance case autonomous AI agent
6,Boundary as an Execution-Time Primitive for AI-Assisted Software Development Governance,2026,Spark Tsai,10.31224/6583,https://doi.org/10.31224/6583,posted-content,Crossref,AI-assisted software assurance independent review
6,Build Your First AI Agent—Hands-On Coding,2026,Dhivya Nagasubramanian,10.1007/979-8-8688-2361-9_10,https://doi.org/10.1007/979-8-8688-2361-9_10,book-chapter,Crossref,AI coding agent reviewability acceptance evidence
6,Cross-Agent Governance Alignment (CAGA): A Zero-Knowledge Formalization for Cross-Organizational AI Governance,2026,Edward Meyman,10.2139/ssrn.6299461,https://doi.org/10.2139/ssrn.6299461,posted-content,Crossref,AI agent runtime governance policy actions
6,Cryptographic Runtime Governance for Autonomous AI Systems: The Aegis Architecture for Verifiable Policy Enforcement,2026,Adam Mazzocchetti,10.2139/ssrn.6418638,https://doi.org/10.2139/ssrn.6418638,posted-content,Crossref,AI agent runtime governance policy actions
6,"Emergent Autonomous Sub-Agent Spawning in LLM-Based Multi-Agent Software Engineering Systems:An Empirical Case Study, Controlled Pilot Experiment, and Benchmark Framework""Can AI Agents Have Babies?""",2026,A. Shukla; Priyanshu Rajput,10.51244/ijrsi.2026.1303000020,https://www.semanticscholar.org/paper/598cc01f5fcdc0cf34ea3e1f4f55532cd7c84daf,JournalArticle,Semantic Scholar,assurance case autonomous AI agent
6,Factors Influencing Consumer Acceptance of AI-powered Shopping Assistants: Evidence from Jumia Sierra Leone,2026,,10.55578/jift.2603.004,https://doi.org/10.55578/jift.2603.004,journal-article,Crossref,AI coding agent reviewability acceptance evidence
6,Flexible Navigation of a Replay-Driven Neuro-AI Agent with Synergistic Integration of Temporal and Rate Coding ​,2026,Nima Salimi-Nezhad; Mahmood Amiri; Herbert Peremans,10.2139/ssrn.6770880,https://doi.org/10.2139/ssrn.6770880,posted-content,Crossref,AI coding agent reviewability acceptance evidence
6,From Agents to Relations: A Relational Ontology for AI Ethics,2026,Darri Eythorsson,10.31235/osf.io/34u9p_v1,https://doi.org/10.31235/osf.io/34u9p_v1,posted-content,Crossref,operational ontology decision rights AI agents
6,From Traceability to Reviewability: Intent-Anchored Claim Review for Agentic AI Design Handoffs,2026,Shijie Ming; Ziqiang He; Ning Zhao; Ke Jiang,10.2139/ssrn.7030983,https://doi.org/10.2139/ssrn.7030983,posted-content,Crossref,AI coding agent reviewability acceptance evidence
6,Gen-AI Code Reviewer: An AI-Assisted Pull Request Review Platform for Faster First-Pass Software Quality Analysis,2026,,10.64388/irev9i12-1719198,https://doi.org/10.64388/irev9i12-1719198,journal-article,Crossref,AI-assisted software assurance independent review
6,GoodGlinda-7B: Hierarchical Multi-Agent Verification (HMAV) for Edge Computing,2026,Sachleen Singh Dhanjal,10.2139/ssrn.6811638,https://doi.org/10.2139/ssrn.6811638,posted-content,Crossref,common mode failure multi-agent verification
6,Implementation and quality assurance of generative AI software,2026,Miroslaw Staron,10.1016/b978-0-44-327606-4.00015-5,https://doi.org/10.1016/b978-0-44-327606-4.00015-5,book-chapter,Crossref,AI-assisted software assurance independent review
6,Mini-review on human-centered assurance in robot-assisted orthopedics and neurosurgery,2026,Sue Min Cho; Xinrui Zou; Laura Fleig; Mathias Unberath,10.3389/frobt.2026.1755883,https://doi.org/10.3389/frobt.2026.1755883,journal-article,Crossref,AI-assisted software assurance independent review
6,Observability Is Not Enforcement: A Doctrinal and Architectural Framework for Distinguishing Compliance Instrumentation from Runtime Authorization in AI Governance,2026,Edward Meyman,10.2139/ssrn.6249979,https://doi.org/10.2139/ssrn.6249979,posted-content,Crossref,AI agent runtime governance policy actions
6,Reliance Authorization in AI Systems: Defining Operational Decision Thresholds — A Preliminary Governance Model,2026,Timothy Kang,10.2139/ssrn.6287358,https://doi.org/10.2139/ssrn.6287358,posted-content,Crossref,operational ontology decision rights AI agents
6,"Review for ""Scientists might be reaffirming the relevance of human oversight as AI lands in labs""",2026,,10.1039/d6dd00030d/v1/review2,https://doi.org/10.1039/d6dd00030d/v1/review2,peer-review,Crossref,human oversight AI generated code review
6,"Review for ""Scientists might be reaffirming the relevance of human oversight as AI lands in labs""",2026,,10.1039/d6dd00030d/v2/review1,https://doi.org/10.1039/d6dd00030d/v2/review1,peer-review,Crossref,human oversight AI generated code review
6,"Review for ""Scientists might be reaffirming the relevance of human oversight as AI lands in labs""",2026,,10.1039/d6dd00030d/v2/review2,https://doi.org/10.1039/d6dd00030d/v2/review2,peer-review,Crossref,human oversight AI generated code review
6,"Review for ""Scientists might be reaffirming the relevance of human oversight as AI lands in labs""",2026,,10.1039/d6dd00030d/v1/review1,https://doi.org/10.1039/d6dd00030d/v1/review1,peer-review,Crossref,human oversight AI generated code review
6,Runtime Governance for AI Agents: Policies on Paths,2026,Maurits Kaptein; Vassilis-Javed Khan; Andriy Podstavnychy,https://doi.org/10.48550/arxiv.2603.16586,https://doi.org/10.48550/arxiv.2603.16586,preprint,OpenAlex,AI agent runtime governance policy actions
6,Scalable Runtime Governance for Agentic AI in Financial Services,2026,Lukasz Szpruch; Agus Sudjianto; Tanveer Bhatti; Gary Ang,10.2139/ssrn.6567199,https://doi.org/10.2139/ssrn.6567199,posted-content,Crossref,AI agent runtime governance policy actions
6,"Supplemental Material: Tracing the sedimentary provenance of the Carboniferous to Jurassic rocks from southern Taimyr (Siberian Arctic, Russia): Evidence from detrital zircon Hf isotopes",2026,Wen Zhang; et al.,10.1130/gsab.s.31136488.v1,https://doi.org/10.1130/gsab.s.31136488.v1,posted-content,Crossref,AI agent execution provenance evidence tracing
6,"Supplemental Material: Tracing the sedimentary provenance of the Carboniferous to Jurassic rocks from southern Taimyr (Siberian Arctic, Russia): Evidence from detrital zircon Hf isotopes",2026,Wen Zhang; et al.,10.1130/gsab.s.31136488,https://doi.org/10.1130/gsab.s.31136488,posted-content,Crossref,AI agent execution provenance evidence tracing
6,"THEMIS-xAI (Trusted High-Bash Evidence Integrity System for Explainable AI):&amp;nbsp;A Unified Architecture for Cryptographically-Anchored AI Governance, Runtime Policy Enforcement, Explainability, Security, and Multi-Framework Regulatory Compliance&amp;nbsp;",2026,Heath Emerson,10.2139/ssrn.6390878,https://doi.org/10.2139/ssrn.6390878,posted-content,Crossref,AI agent runtime governance policy actions
6,TRACE: A Governance-First Execution Framework Providing Architectural Assurance for Autonomous AI Operations,2026,Elias Calboreanu,10.2139/ssrn.6212818,https://doi.org/10.2139/ssrn.6212818,posted-content,Crossref,assurance case autonomous AI agent
6,The Autonomy Accountability Framework: A Governance Standard for Autonomous AI Agent Systems,2026,V. P.,10.2139/ssrn.6391521,https://doi.org/10.2139/ssrn.6391521,posted-content,Crossref,assurance case autonomous AI agent
6,"The Ethics of AI-Assisted Code Migration in Regulated Financial Systems: Accountability, Transparency, and Human Oversight in LLM-Driven Software Conversion",2026,Ronit Sharma,10.2139/ssrn.6252918,https://doi.org/10.2139/ssrn.6252918,posted-content,Crossref,human oversight AI generated code review
6,The Semantic Deviation Index (SDI): A Runtime Measurement Standard for the Governance of Agentic AI in Financial Services,2026,Maureen Doyle-Spare,10.2139/ssrn.6531238,https://doi.org/10.2139/ssrn.6531238,posted-content,Crossref,AI agent runtime governance policy actions
6,"AI Generated Evidence Brought Before European Courts: Further Activation of Evidence Law, Defence Rights and Human Oversight Needed",2025,Paul De Hert; Georgios Bouchagiar,10.70556/hpnlu-slr-v7-i1-2024-01,https://doi.org/10.70556/hpnlu-slr-v7-i1-2024-01,journal-article,Crossref,human oversight AI generated code review
6,"Acceptance of AI design tools in fashion education
- Evidence from technology acceptance model -",2025,Sujin Lim,10.29049/rjcc.2025.33.5.662,https://doi.org/10.29049/rjcc.2025.33.5.662,journal-article,Crossref,AI coding agent reviewability acceptance evidence
6,Agentic AI for Ultra-Modern Networks: Multi-Agent Framework for RAN Autonomy and Assurance,2025,Sukhdeep Singh; A. Bhat; Shweta M; Subhash Kumar Singh; Moonki Hong; M. K; K. Sithamparanathan; S. A. Khowaja,10.1109/ICC59461.2026.11587987,https://www.semanticscholar.org/paper/4fa1c8c07ebb853e8496a4534f91e89706fbf267,JournalArticle;Conference,Semantic Scholar,assurance case autonomous AI agent
6,Agentic AI has a Human Oversight Problem,2025,Samir Passi,10.2139/ssrn.5529058,https://doi.org/10.2139/ssrn.5529058,posted-content,Crossref,human oversight AI generated code review
6,Democracy and AI Acceptance: Cross-Country Evidence,2025,Hubert Janos Kiss; Alfonso Rosa-Garcia,10.2139/ssrn.5518178,https://doi.org/10.2139/ssrn.5518178,posted-content,Crossref,AI coding agent reviewability acceptance evidence
6,Designing a Policy Engine for Agentic AI Systems: From Governance Requirements to Runtime Enforcement,2025,Freeman Jackson,10.2139/ssrn.5904104,https://doi.org/10.2139/ssrn.5904104,posted-content,Crossref,AI agent runtime governance policy actions
6,"Generative AI and LLMs for Critical Infrastructure Protection: Evaluation Benchmarks, Agentic AI, Challenges, and Opportunities",2025,Yagmur Yigit; Mohamed Amine Ferrag; Mohamed Chahine Ghanem; Iqbal H. Sarker; Λέανδρος Μαγλαράς; Christos Chrysoulas; Naghmeh Moradpoor; Norbert Tihanyi,https://doi.org/10.3390/s25061666,https://doi.org/10.3390/s25061666,article,OpenAlex,AI agent runtime governance policy actions
6,Policy Cards: Machine-Readable Runtime Governance for Autonomous AI Agents,2025,Juraj Mavračić,10.5281/zenodo.17464706,https://www.semanticscholar.org/paper/3bf3348622de20e2c69fff4f50dbeb2bb059034b,JournalArticle,Semantic Scholar,assurance case autonomous AI agent
6,Review of autonomous systems and collaborative AI agent frameworks,2025,Satyadhar Joshi,10.30574/ijsra.2025.14.2.0439,https://www.semanticscholar.org/paper/f4d6475430434ea0c76cdcc96a58753a663e0ce8,JournalArticle;Review,Semantic Scholar,assurance case autonomous AI agent
6,Trustworthy AI in Practice: A Comprehensive Review of Human Oversight and Human-in-the-Loop Approaches,2025,Abdul-Rasheed Olatunji Ottun; Huber Flores,10.36227/techrxiv.176118749.93102582/v1,https://doi.org/10.36227/techrxiv.176118749.93102582/v1,posted-content,Crossref,human oversight AI generated code review
6,Using an AI Coding Agent,2025,Nick Wienholt,10.1007/979-8-8688-1784-7_2,https://doi.org/10.1007/979-8-8688-1784-7_2,book-chapter,Crossref,AI coding agent reviewability acceptance evidence
6,myownrobs: AI Coding Agent for 'RStudio',2025,Juan Cruz Rodriguez,10.32614/cran.package.myownrobs,https://doi.org/10.32614/cran.package.myownrobs,dataset,Crossref,AI coding agent reviewability acceptance evidence
6,"Balancing Privacy and Progress: A Review of Privacy Challenges, Systemic Oversight, and Patient Perceptions in AI-Driven Healthcare",2024,S. Williamson; Victor R. Prybutok,https://doi.org/10.3390/app14020675,https://doi.org/10.3390/app14020675,article,OpenAlex,human oversight AI generated code review
6,Modeling and Verification of Multi-Agent Cyber-Physical Systems in Verse Library,2024,Sarthak Das,10.36227/techrxiv.172470839.93311927/v2,https://doi.org/10.36227/techrxiv.172470839.93311927/v2,posted-content,Crossref,common mode failure multi-agent verification
6,Modelling and Verification of Multi-agent Hybrid Systems,2024,Sarthak Das,10.31237/osf.io/r2bxw,https://doi.org/10.31237/osf.io/r2bxw,posted-content,Crossref,common mode failure multi-agent verification
6,Agent-Based Autonomous System Verification,2023,,10.1017/9781108755023.006,https://doi.org/10.1017/9781108755023.006,book-chapter,Crossref,assurance case autonomous AI agent
6,"Connecting the dots in trustworthy Artificial Intelligence: From AI principles, ethics, and key requirements to responsible AI systems and regulation",2023,Natalia Díaz-Rodríguez; Javier Del Ser; Mark Coeckelbergh; Marcos López de Prado; Enrique Herrera‐Viedma; Francisco Herrera,https://doi.org/10.1016/j.inffus.2023.101896,https://doi.org/10.1016/j.inffus.2023.101896,article,OpenAlex,AI-assisted software assurance independent review; assurance case autonomous AI agent; evidence self-authorship AI agent; grader hacking reward hacking evaluator manipulation agent; human oversight AI generated code review; operational ontology decision rights AI agents
6,Enhancing Software Quality through AI - Assisted Code Review: Insights from AWS Cloud Infrastructure Development,2023,Sai Tarun Kaniganti,10.21275/sr24716230727,https://doi.org/10.21275/sr24716230727,journal-article,Crossref,AI-assisted software assurance independent review
6,Ethics in conversation: Building an ethics assurance case for autonomous AI-enabled voice agents in healthcare.,2023,Marten H. L. Kaas; Zoë Porter; Ernest Lim; Aisling Higham; Sarah Khavandi; Ibrahim Habli,10.48550/ARXIV.2305.14182,https://dblp.org/rec/journals/corr/abs-2305-14182,Informal and Other Publications,DBLP,assurance case autonomous AI agent
6,Formal Agent Verification,2023,,10.1017/9781108755023.004,https://doi.org/10.1017/9781108755023.004,book-chapter,Crossref,assurance case autonomous AI agent
6,Interpol review of digital evidence for 2019–2022,2023,Paul Reedy,https://doi.org/10.1016/j.fsisyn.2022.100313,https://doi.org/10.1016/j.fsisyn.2022.100313,article,OpenAlex,AI agent execution provenance evidence tracing
6,Formal verification of group and propagated trust in multi-agent systems,2022,Nagat Drawel; Jamal Bentahar; Amine Laarej; Gaith Rjoub,10.1007/s10458-021-09542-6,https://doi.org/10.1007/s10458-021-09542-6,journal-article,Crossref,common mode failure multi-agent verification
6,Evaluating Large Language Models Trained on Code,2021,Mark Chen; Jerry Tworek; Heewoo Jun; Qiming Yuan; Henrique Pondé de Oliveira Pinto; Jared Kaplan; Harrison Edwards; Yuri Burda,https://doi.org/10.48550/arxiv.2107.03374,http://arxiv.org/abs/2107.03374,preprint,OpenAlex,AI agent runtime governance policy actions; AI coding agent reviewability acceptance evidence; operational ontology decision rights AI agents
6,Increasing vaccine acceptance using evidence-based approaches and policies: Insights from research on behavioural and social determinants presented at the 7th Annual Vaccine Acceptance Meeting,2021,Katie Attwell; Cornelia Betsch; Ève Dubé; Jonas Sivelä; Arnaud Gagneur; L. Suzanne Suggs; Valentina Picot; Angus Thomson,https://doi.org/10.1016/j.ijid.2021.02.007,https://doi.org/10.1016/j.ijid.2021.02.007,article,OpenAlex,actor authored evidence acceptance gate
6,Modelling and verification of reconfigurable multi-agent systems,2021,Yehia Abd Alrahman; Nir Piterman,10.1007/s10458-021-09521-x,https://doi.org/10.1007/s10458-021-09521-x,journal-article,Crossref,common mode failure multi-agent verification
6,Multi-Agent Safety Verification using Symmetry Transformations,2021,Hussein Sibai,10.26226/morressier.604907f51a80aac83ca25d9f,https://doi.org/10.26226/morressier.604907f51a80aac83ca25d9f,posted-content,Crossref,common mode failure multi-agent verification
6,"A Systematic Review of Attitudes, Anxiety, Acceptance, and Trust Towards Social Robots",2020,Stanislava Naneva; Marina Sardà Gou; Thomas L. Webb; Tony J. Prescott,https://doi.org/10.1007/s12369-020-00659-4,https://doi.org/10.1007/s12369-020-00659-4,review,OpenAlex,AI coding agent reviewability acceptance evidence
6,Conversational Agents in Health Care: Scoping Review and Conceptual Analysis,2020,Lorainne Tudor Car; Dhakshenya Ardhithy Dhinagaran; Bhone Myint Kyaw; Tobias Kowatsch; Shafiq Joty; Yin Leng Theng; Rifat Atun,https://doi.org/10.2196/17158,https://doi.org/10.2196/17158,article,OpenAlex,AI coding agent reviewability acceptance evidence
6,Logic-based specification and verification of homogeneous dynamic multi-agent systems,2020,Riccardo De Masellis; Valentin Goranko,10.1007/s10458-020-09457-8,https://doi.org/10.1007/s10458-020-09457-8,journal-article,Crossref,common mode failure multi-agent verification
6,The Effectiveness of Artificial Intelligence Conversational Agents in Health Care: Systematic Review,2020,Madison Milne‐Ives; Caroline de Cock; Ernest Lim; Melissa Harper Shehadeh; Nick de Pennington; Guy Mole; Eduardo Normando; Edward Meinert,https://doi.org/10.2196/20346,https://doi.org/10.2196/20346,review,OpenAlex,AI coding agent reviewability acceptance evidence
6,Verifiable Self-Aware Agent-Based Autonomous Systems,2020,Louise A. Dennis; Michael Fisher,https://doi.org/10.1109/jproc.2020.2991262,https://doi.org/10.1109/jproc.2020.2991262,article,OpenAlex,separation of duties AI engineering agents
6,"Principals, agents, and the delegation of power inside political parties",2018,Isabelle Hertner,10.7228/manchester/9781526120335.003.0004,https://doi.org/10.7228/manchester/9781526120335.003.0004,book-chapter,Crossref,software delegation contracts coding agents
6,Software engineering for self-adaptive systems:research challenges in the provision of assurances,2018,Rogério de Lemos; David Garlan; Carlo Ghezzi; Holger Giese; Jesper Andersson; Marin Litoiu; Bradley Schmerl; Danny Weyns,,"https://publications.aston.ac.uk/view/author/af84aedb8b5794dd35384d351246cc7c.html>,",book-chapter,OpenAlex,continuous assurance AI systems revalidation
6,Tablet use in schools: a critical review of the evidence for learning outcomes,2015,Björn Haßler; Louis Major; Sara Hennessy,https://doi.org/10.1111/jcal.12123,https://doi.org/10.1111/jcal.12123,article,OpenAlex,actor authored evidence acceptance gate
